[default]
/* MENU STUFF */
// keybinds
SWWM_KEYS = "SWWM GZ Bindings";
SWWM_PRIMARYFIRE = "Primary Fire";
SWWM_SECONDARYFIRE = "Secondary Fire";
SWWM_TERTIARYFIRE = "Tertiary Fire / Reload";
SWWM_QUATERNARYFIRE = "Quaternary Fire / Zoom";
SWWM_MELEE = "Melee Attack";
SWWM_DASH = "Dash";
SWWM_GESTURE1 = "Point Down";
SWWM_GESTURE2 = "Thumbs Up";
SWWM_GESTURE3 = "Victory";
SWWM_KBASE = "Knowledge Base";
// mod menu
// knowledge base
SWWM_TOOSMALL = "Your resolution is too small to fit this menu.\n640x400 or higher is required.";
SWWM_COMINGSOON = "(coming soon)";
/* GAME STUFF */
// tags
T_PUSHER = "\"Pusher\" Microfusion Rotary Hammer";
T_DEEPIMPACT = "\"Deep Impact\" Airblaster";
T_EXPLODIUM = "Explodium Gun";
T_SPREADGUN = "\"Rhino Stopper\" Spreadgun";
T_WALLBUSTER = "\"Wallbuster\" Heavy Perforator Shotgun";
T_EVISCERATOR = "\"Eviscerator\" High Load Flechette Cannon";
T_HELLBLAZER = "\"Hellblazer\" Rocket Launcher";
T_SPARKSTER = "Model S-5 Biospark Carbine";
T_SILVERBULLET = "Silver Bullet JET";
T_CANDYGUN = "\"Taste the Sweetness\" Candy Gun";
T_YNYKRON = "Ynykron Artifact";
T_REDSHELL = "Shell";
T_REDSHELLS = "Shells";
T_GREENSHELL = "Slug";
T_GREENSHELLS = "Slugs";
T_WHITESHELL = "Dragon's Breath Round";
T_WHITESHELLS = "Dragon's Breath Rounds";
T_BLUESHELL = "Kinylum Saltshot Round";
T_BLUESHELLS = "Kinylum Saltshot Rounds";
T_BLACKSHELL = "Napalm Round";
T_BLACKSHELLS = "Napalm Rounds";
T_PURPLESHELL = "Lead Ball Round";
T_PURPLESHELLS = "Lead Ball Rounds";
T_GOLDSHELL = "Golden Shell";
T_GOLDSHELLS = "Golden Shells";
T_EVISHELL = "Eviscerator Shell";
T_EVISHELLS = "Eviscerator Shells";
T_HELLMISSILES = "Hellblazer Missiles";
T_HELLCLUSTERS = "Hellblazer Crackshots";
T_HELLBURNINATORS = "Hellblazer Ravagers";
T_HELLNUKES = "Hellblazer Warheads";
T_SPARKUNIT = "Sparkster Charge";
T_XSBBULLET = "1.150 XSB Bullet";
T_XSBMAG = "1.150 XSB Magazine";
T_CANDYMAG = "Candygun Magazine";
T_YNYKRONAMMO = "Exotic Crystal";
T_BLASTSUIT = "Blast Suit";
T_EMBIGGENER = "Hammerspace Embiggener";
T_FABRICATOR = "Ammo Fabricator";
T_FAB1 = "(Common Tier)";
T_FAB2 = "(Rare Tier)";
T_FAB3 = "(Very Rare Tier)";
T_FAB4 = "(Gold Tier)";
T_GHOSTARTI = "Ghost Artifact";
T_GRAVITYS = "Gravity Suppressor";
T_TETRAHEALTH = "Health Tetrahedron";
T_CUBEHEALTH = "Health Cube";
T_INVINCIBALL = "Fuckin' Invinciball";
T_LAMP = "Lämp";
T_NUGGETH = "Health Nugget";
T_NUGGETA = "Armor Nugget";
T_OMNISIGHT = "Omnisight";
T_RAGEKIT = "Ragekit";
T_REFRESHER = "Refresher";
T_SANDWICH = "Grilled Cheese Sandwich";
T_WARARMOR = "War Armor";
// obituaries
O_PUSHER = "%k opened some air holes into %o.";
O_DEEPIMPACT = "%o was impacted deeply by %k.";
O_EXPLODIUM = "%k inflicted severe knee explosions onto %o.";
O_SPREADGUN_RED = "%k gave %o a mouthful of shot.";
